
Front,Back
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا ساكن ب…  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana saaken bi … / ana saakneh bi …)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I live in …</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أنا ساكن ببيروت.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ana saaken bi Bayroot.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I live in Beirut.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Answer with “ana saaken bi” plus your city or neighborhood.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    تشرفنا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (tasharrafna)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Nice to meet you</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>تشرفنا يا أستاذ.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>tasharrafna ya ustaadh.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Nice to meet you, sir.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Literally “we were honored” – say this when meeting someone new.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    شرف إلي  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (sharaf ilee)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>The honor is mine (reply)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>تشرفنا – شرف إلي.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>tasharrafna – sharaf ilee.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Nice to meet you. – The honor is mine.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use this gracious reply to return the compliment when someone says “tasharrafna.”</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    فرصة سعيدة  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (fursa saʿeedeh)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Happy chance / Nice to meet you</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>فرصة سعيدة يا محمد.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>fursa saʿeedeh ya Muhammad.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Happy chance, Mohammed.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Literally “happy opportunity” – use it to express delight at meeting someone.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أنا أسعد  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (ana asʿad / asʿad)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I’m happier (reply)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>فرصة سعيدة. – أنا أسعد.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>fursa saʿeedeh. – ana asʿad.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Happy chance. – I’m happier.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Reply politely that you’re even happier to meet the person.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أديش؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (addeesh?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>How much?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أديش هذا؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>addeesh haada?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>How much is this?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>A simple, one‑word question for price or quantity – very handy when shopping.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أديش حق ال…؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (addeesh Haqq el‑…?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What’s the price of …?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أديش حق الساندويش؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>addeesh Haqq as‑sandwish?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What’s the price of the sandwich?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “Haqq” (price of) plus the item to ask for its cost.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بدي أشتريه  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (biddi ashtariih / ashtariha)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I want to buy this</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بدي أشتريه، قديش حقه؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>biddi ashtariih, addeesh Haq‑o?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I want to buy it; how much is it?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Biddi” means “I want,” and “ashtari” is “to buy” – together they’re self‑explanatory.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    أديش الساعة؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (addeesh as‑saaʿa?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>What’s the time?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>أديش الساعة؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>addeesh as‑saaʿa?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>What time is it?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Saʿa” means hour or clock, so you’re literally asking “how much is the hour?”</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بتعرف وين الحمام؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (btaʿrif / btaʿrfi weyn el‑hammam?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Do you know where the bathroom is?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>لو سمحت، بتعرف وين الحمام؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>law samaHt, btaʿrif weyn el‑hammam?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Excuse me, do you know where the bathroom is?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Hammam” is “bathroom,” so just remember to ask politely!</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    بتحكي إنجليزي؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (btiHki inglizi?)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Do you speak English?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>بتحكي إنجليزي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>btiHki inglizi?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Do you speak English?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Ing-lizi” sounds like “English” – easy to remember.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مو فاهم عربي كويس  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (mu faahim / faahime ʿarabi kwayyis)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>I don’t understand Arabic well</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>مو فاهم عربي كويس، ممكن تحكي شوي شوي؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>mu faahim ʿarabi kwayyis, mumkin tiHki shway shway?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>I don’t understand Arabic well; can you speak slowly?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Mu” is the negation – add it before “faahim” (understanding) to say you don’t understand.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ممكن تعطيني المينو؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (mumkin taʿTiini el‑menu?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Could you give me the menu?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>ممكن تعطيني المينو، من فضلك؟</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>mumkin taʿTiini el‑menu, min faDlak?</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Could you give me the menu, please?</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Mumkin” means “maybe/could,” and “taʿTiini” is “you give me.”</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ممكن تعطيني الفاتورة؟  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (mumkin taʿTiini el‑faatura?)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Could you give me the bill?</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>الحساب، لو سمحت.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>el‑7isaab, law samaHt.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>The bill, please.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Faatura” is the invoice; ask politely when you’re ready to pay.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    تفضل  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (tafaddal / tafaddali)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Here you go / Please (offering)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>تفضل، هذا لك.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>tafaddal, haada lek.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Here you go, this is for you.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Literally “favor yourself,” use it when handing something or inviting someone in.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    …، لو سمحت  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (… law samaHt)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>___, please (in a taxi or request)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>على المحطة، لو سمحت.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>ʿala el‑maHaTTa, law samaHt.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>To the station, please.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Place your destination before “law samaHt” to politely direct a taxi or request.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    دغري  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (dughri)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Straight ahead</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>روح دغري، بعدين عاليمين.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>rooH dughri, baʿdeen ʿal‑yameen.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Go straight, then to the right.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Dughri” sounds like “directly” – keep going straight.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    دور عاليمين  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (dur ʿal‑yameen)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Turn right</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>دور عاليمين عند الإشارة.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>dur ʿal‑yameen ʿand el‑ishaara.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Turn right at the traffic light.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Yameen” means “right”; pair it with “dur” (turn).</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    دور عاليسار  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (dur ʿal‑yasar)  </div></div>,<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Turn left</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>دور عاليسار بعد الجسر.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>dur ʿal‑yasar baʿd el‑jisr.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Turn left after the bridge.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“Yasar” means “left”; pair it with “dur” to instruct a left turn.</div></div>
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    هون لو سمحت  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (hoon law samaHt)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Stop here, please</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>هون لو سمحت، بدي أنزل.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>hoon law samaHt, biddi anzil.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Stop here please, I’d like to get out.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “hoon” (here) with “law samaHt” to ask a driver to stop at a specific spot.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    يلا  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (yalla)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Let’s go / Come on</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>يلا، تأخرنا!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>yalla, ta’akhkharnah!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Come on, we’re late!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>A versatile urging phrase – use “yalla!” to get people moving.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مبروك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (mabruuk)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Congratulations!</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>مبروك على الوظيفة الجديدة!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>mabruuk ʿala el‑waZiifeh el‑jdiideh!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Congratulations on the new job!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “mabruuk” for any achievement – wedding, birth, promotion, etc.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    ألف مبروك  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (alf mabruuk)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>A thousand congratulations!</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>ألف مبروك على التخرج!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>alf mabruuk ʿala at‑taKharroj!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>A thousand congratulations on the graduation!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>If “mabruuk” isn’t enough, add “alf” for extra excitement!</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    كل سنة وأنت طيب  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (kul sana wa enta / enti tayyib / tayybeh)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Happy birthday / Happy New Year (lit. every year and you are good)</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>كل سنة وأنت طيب يا صديقي!</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>kul sana wa enta tayyib ya Sadeeqi!</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Happy birthday, my friend!</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use this phrase for birthdays, New Year, or any annual celebration.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    مع السلامة  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (maʿ as‑salaameh)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Goodbye / Go with safety</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>مع السلامة، بشوفك بكرا.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>maʿ as‑salaameh, bshoofak bukra.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Goodbye, I’ll see you tomorrow.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>“With safety” – send someone off wishing them safety.</div></div>"
<div style='text-align:center; line-height:1.1; margin:0;'>  <div style='color:#7C3AED; font-size:40px; font-weight:800; line-height:1.1; margin:0;'>    وداع  </div>  <div style='color:#14B8A6; font-size:30px; font-weight:700; line-height:1.1; margin:0;'>    (wadaaʿ)  </div></div>,"<div style='line-height:1.1; margin:0;'>  <div style='color:#6B7280; font-size:30px; font-weight:800; text-align:center; line-height:1.1; margin:0;'>Farewell</div>  <div style='font-size:28px; font-weight:900; text-align:center; line-height:1.1; margin:0;'>Example:</div>  <div style='color:#7C3AED; font-size:30px; font-weight:750; text-align:center; line-height:1.1; margin:0;'>وداع يا صديقي العزيز.</div>  <div style='color:#14B8A6; font-size:28px; font-weight:650; text-align:center; line-height:1.1; margin:0;'>wadaaʿ ya Sadeeqi al‑ʿaziz.</div>  <div style='color:#6B7280; font-size:26px; text-align:center; line-height:1.1; margin:0;'>Farewell, my dear friend.</div>  <div style='color:#F59E0B; font-size:22px; text-align:center; line-height:1.1; margin:0;'>Use “wadaaʿ” for formal or solemn goodbyes.</div></div>"
